Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
ROIC,Retail Opportunity Investments Corp.,Real Estate,REITâ€”Retail,United States,CA,92130-2677
RPD,"Rapid7, Inc.",Technology,Softwareâ€”Infrastructure,United States,MA,2114
RPID,"Rapid Micro Biosystems, Inc.",Healthcare,Medical Devices,United States,MA,1854
RPRX,Royalty Pharma plc,Healthcare,Biotechnology,United States,NY,10022
RRBI,"Red River Bancshares, Inc.",Financial Services,Banksâ€”Regional,United States,LA,71301
RSLS,ReShape Lifesciences Inc.,Healthcare,Medical Devices,United States,CA,92618
RSVRW,"Reservoir Media, Inc.",Communication Services,Entertainment,United States,NY,10014
RSSS,"Research Solutions, Inc.",Technology,Softwareâ€”Application,United States,NV,89052
RRGB,"Red Robin Gourmet Burgers, Inc.",Consumer Cyclical,Restaurants,United States,CO,80112
RSVR,"Reservoir Media, Inc.",Communication Services,Entertainment,United States,NY,10014
RUM,Rumble Inc.,Technology,Softwareâ€”Application,United States,FL,34228
RUN,Sunrun Inc.,Technology,Solar,United States,CA,94104
RUMBW,Rumble Inc.,Technology,Softwareâ€”Application,United States,FL,34228
RVMDW,"Revolution Medicines, Inc.",Healthcare,Biotechnology,United States,CA,94063
RVPHW,"Reviva Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,United States,CA,95014
RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,TX,78130
RVPH,"Reviva Pharmaceuticals Holdings, Inc.",Healthcare,Biotechnology,United States,CA,95014
RVMD,"Revolution Medicines, Inc.",Healthcare,Biotechnology,United States,CA,94063
RVNC,"Revance Therapeutics, Inc.",Healthcare,Biotechnology,United States,TN,37203
RUSHB,"Rush Enterprises, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,TX,78130
RWAY,Runway Growth Finance Corp.,Financial Services,Credit Services,United States,CA,94025
RVYL,Ryvyl Inc.,Technology,Softwareâ€”Infrastructure,United States,CA,92108
